title,date,link
EMERSON_Program mentoring Kick Off Your STEM Career,21.10.21,https://www.utcluj.ro/media/page_document/255/EMERSON_Program_mentoring_Kick_Off_Your_STEM_Career.jpg
Computacenter_Praktikumsprogramm,22.10.21,https://www.utcluj.ro/media/page_document/255/Computacenter_Praktikumsprogramm.jpeg
Ulma Packaging_Stagii de practica_locuri de munca,22.10.21,https://www.utcluj.ro/media/page_document/255/Ulma_Packaging_Stagii_de_practica_locuri_de_munca.jpg
Struktoplan_Locuri de munca,25.10.21,https://www.utcluj.ro/media/page_document/255/Struktoplan_Locuri_de_munca.png
SC MIMO SRL_Locuri de munca,27.10.21,https://www.utcluj.ro/media/page_document/255/SC_MIMO_SRL_Locuri_de_munca.JPG
US ARMY_Interdisciplinary Engineer_Campia Turzii,10.11.21,https://www.utcluj.ro/media/page_document/255/US_ARMY_Interdisciplinary_Engineer_Campia_Turzii.pdf
HCL Internship,26.11.21,https://www.utcluj.ro/media/page_document/255/HCL_Internship.jpg
HCL Internship Opportunity,26.11.21,https://www.utcluj.ro/media/page_document/255/HCL_Internship_Opportunity.jpg
HCL Job Opportunity,26.11.21,https://www.utcluj.ro/media/page_document/255/HCL_Job_Opportunity.jpg
Ambaflex Job Inginer Mecanic,28.01.22,https://www.utcluj.ro/media/page_document/255/AmbaFlex_Job_Inginer_Mecanic.jpg
Program platit de internship_MassMutual Romania,02.02.22,https://www.utcluj.ro/media/page_document/255/Program_platit_de_internship_MassMutual_Romania.pdf
DB - Bridge Design Engineers - job remote,03.02.22,https://www.utcluj.ro/media/page_document/255/DB_-_Bridge_Design_Engineers_-_job_remote.pdf
DB - Geotechnical Design Engineers - job,03.02.22,https://www.utcluj.ro/media/page_document/255/DB_-_Geotechnical_Design_Engineers_-_job.pdf
AROBS_Internship_Automotive,07.02.22,https://www.utcluj.ro/media/page_document/255/AROBS_Internship_Automotive.jpg
AROBS_Internship_Java,07.02.22,https://www.utcluj.ro/media/page_document/255/AROBS_Internship_Java.jpg
Loc de munca_Da Vinci Engineering _ Satu Mare,15.02.22,https://www.utcluj.ro/media/page_document/255/Loc_de_munca_Da_Vinci_Engineering___Satu_Mare_.pdf
ARRK_Summer_Practice_Powertrain_Simulation_2023_(m_f_d),04.04.23,https://www.utcluj.ro/media/page_document/255/ARRK_Summer_Practice_Powertrain_Simulation_2023_m_f_d_7Y7qViV.pdf
GEP_Associate QA Engineer JD,04.04.23,https://www.utcluj.ro/media/page_document/255/GEP_Associate_QA_Engineer_JD_Kjdyi3W.pdf
GEP_Associate Software Engineer JD,04.04.23,https://www.utcluj.ro/media/page_document/255/GEP_Associate_Software_Engineer_JD_W38v1FC.pdf
Loc de munca_Terapia_ Electro- mecanic,04.04.23,https://www.utcluj.ro/media/page_document/255/Loc_de_munca_Terapia__Electro-_mecanic_jqDuZ7W.jpg
Loc de munca_Terapia_ Inginer electronist,04.04.23,https://www.utcluj.ro/media/page_document/255/Loc_de_munca_Terapia__Inginer_electronist__yzzQHIx.jpg
Loc de munca_GD Masini de ridicat,07.04.23,https://www.utcluj.ro/media/page_document/255/Loc_de_munca_GD_Masini_de_ridicat.jpg
INGINER AUTOMATIST_Taddat Recruiting & HeadHunting,19.04.23,https://www.utcluj.ro/media/page_document/255/INGINER_AUTOMATIST_Taddat_Recruiting__HeadHunting.pdf
TEHNICIAN PRODUCTIE TAMPLARIE ALUMINIU_Taddat Recruiting & HeadHunting,19.04.23,https://www.utcluj.ro/media/page_document/255/TEHNICIAN_PRODUCTIE_TAMPLARIE_ALUMINIU_Taddat_Recruiting__HeadHunting.pdf
TEHNICIAN SISTEME SECURITATE_Taddat Recruiting & HeadHunting,19.04.23,https://www.utcluj.ro/media/page_document/255/TEHNICIAN_SISTEME_SECURITATE_Taddat_Recruiting__HeadHunting.pdf
Internship_IMSAT Sebes,25.04.23,https://www.utcluj.ro/media/page_document/255/Internship_IMSAT_Sebes.jpg
